time_stamp,version,metric,score
06-06-2023 15:54:13,1.0,KNeighborsClassifier,0.7824644549763033
06-06-2023 17:32:15,1.0,KNeighborsClassifier,0.7824644549763033
06-06-2023 17:32:27,1.0,KNeighborsClassifier,0.7824644549763033
06-06-2023 18:27:48,1.0,KNeighborsClassifier,0.7824644549763033
06-06-2023 19:17:40,1.0,KNeighborsClassifier,0.7824644549763033
06-06-2023 19:57:12,1.0,KNeighborsClassifier,0.7819905213270142
06-06-2023 20:22:03,1.0,KNeighborsClassifier,0.7819905213270142
06-06-2023 20:33:46,1.0,KNeighborsClassifier,0.7819905213270142
06-06-2023 21:25:14,1.0,KNeighborsClassifier,0.7696682464454976
06-06-2023 21:41:56,1.0,KNeighborsClassifier,0.7696682464454976
06-06-2023 21:52:28,1.0,KNeighborsClassifier,0.7696682464454976
06-06-2023 22:03:27,1.0,KNeighborsClassifier,0.7696682464454976
07-06-2023 18:09:41,1.0,LogisticRegression,0.8126330731014905
07-06-2023 18:09:49,1.0,LogisticRegression,0.7274662881476224
07-06-2023 18:11:57,1.0,LogisticRegression,0.8126330731014905
07-06-2023 18:13:58,1.0,LogisticRegression,0.8126330731014905
07-06-2023 18:15:38,1.0,LogisticRegression,0.8126330731014905
07-06-2023 18:15:44,1.0,LogisticRegression,0.7274662881476224
07-06-2023 18:18:25,1.0,LogisticRegression,0.8126330731014905
07-06-2023 18:19:41,1.0,"RandomForestClassifier(max_depth=10, n_estimators=200, random_state=42)",0.8126330731014905
07-06-2023 18:20:56,1.0,"RandomForestClassifier(max_depth=10, n_estimators=200, random_state=42)",0.8126330731014905
07-06-2023 18:21:02,1.0,DecisionTreeClassifier(random_state=42),0.7274662881476224
07-06-2023 18:26:49,1.0,LogisticRegression(),0.794180269694819
07-06-2023 18:27:33,1.0,"RandomForestClassifier(max_depth=10, n_estimators=200, random_state=42)",0.8126330731014905
07-06-2023 18:27:39,1.0,DecisionTreeClassifier(random_state=42),0.7274662881476224
07-06-2023 18:31:45,1.0,LogisticRegression(),0.794180269694819
07-06-2023 18:32:29,1.0,"RandomForestClassifier(max_depth=10, n_estimators=200, random_state=42)",0.8126330731014905
07-06-2023 18:32:34,1.0,DecisionTreeClassifier(random_state=42),0.7274662881476224
07-06-2023 18:49:53,1.0,LogisticRegression(),0.794180269694819
07-06-2023 18:50:20,1.0,LogisticRegression(),0.794180269694819
07-06-2023 18:50:51,1.0,"RandomForestClassifier(max_depth=10, n_estimators=200, random_state=42)",0.8126330731014905
07-06-2023 18:50:51,1.0,DecisionTreeClassifier(random_state=42),0.7274662881476224
08-06-2023 16:40:25,1.0,LogisticRegression(),0.794180269694819
08-06-2023 16:41:00,1.0,"RandomForestClassifier(max_depth=10, n_estimators=200, random_state=42)",0.8126330731014905
08-06-2023 16:41:00,1.0,DecisionTreeClassifier(random_state=42),0.7274662881476224
08-06-2023 16:47:38,1.0,LogisticRegression(),0.794180269694819
08-06-2023 16:48:13,1.0,"RandomForestClassifier(max_depth=10, n_estimators=200, random_state=42)",0.8126330731014905
08-06-2023 16:48:14,1.0,DecisionTreeClassifier(random_state=42),0.7274662881476224
08-06-2023 16:54:07,1.0,LogisticRegression(),0.794180269694819
08-06-2023 16:54:45,1.0,"RandomForestClassifier(max_depth=10, n_estimators=200, random_state=42)",0.8126330731014905
08-06-2023 16:54:45,1.0,DecisionTreeClassifier(random_state=42),0.7274662881476224
08-06-2023 18:19:22,1.0,"RandomForestClassifier(max_depth=10, n_estimators=200, random_state=42)",0.8126330731014905
08-06-2023 18:19:23,1.0,LogisticRegression(),0.794180269694819
08-06-2023 18:19:23,1.0,DecisionTreeClassifier(random_state=42),0.7274662881476224
08-06-2023 18:48:53,1.0,RandomForestClassifier(random_state=42),0.794889992902768
08-06-2023 18:49:20,1.0,"RandomForestClassifier(n_estimators=200, random_state=42)",0.8034066713981547
08-06-2023 18:49:45,1.0,"RandomForestClassifier(n_estimators=300, random_state=42)",0.801277501774308
08-06-2023 18:50:00,1.0,"RandomForestClassifier(max_depth=5, random_state=42)",0.7991483321504613
08-06-2023 18:50:16,1.0,"RandomForestClassifier(max_depth=5, n_estimators=200, random_state=42)",0.7998580553584103
08-06-2023 18:50:32,1.0,"RandomForestClassifier(max_depth=5, n_estimators=300, random_state=42)",0.7991483321504613
08-06-2023 18:50:48,1.0,"RandomForestClassifier(max_depth=10, random_state=42)",0.8097941802696949
08-06-2023 18:51:04,1.0,"RandomForestClassifier(max_depth=10, n_estimators=200, random_state=42)",0.8126330731014905
08-06-2023 18:51:20,1.0,"RandomForestClassifier(max_depth=10, n_estimators=300, random_state=42)",0.8090844570617459
08-06-2023 18:51:40,1.0,LogisticRegression(),0.794180269694819
08-06-2023 18:51:41,1.0,DecisionTreeClassifier(random_state=42),0.7274662881476224
08-06-2023 19:18:48,1.0,RandomForestClassifier(random_state=42),0.794889992902768
08-06-2023 19:19:07,1.0,"RandomForestClassifier(n_estimators=200, random_state=42)",0.8034066713981547
08-06-2023 19:19:28,1.0,"RandomForestClassifier(n_estimators=300, random_state=42)",0.801277501774308
08-06-2023 19:19:41,1.0,LogisticRegression(),0.794180269694819
08-06-2023 19:19:41,1.0,DecisionTreeClassifier(random_state=42),0.7274662881476224
08-06-2023 19:21:37,1.0,RandomForestClassifier(random_state=42),0.794889992902768
08-06-2023 19:22:00,1.0,"RandomForestClassifier(n_estimators=200, random_state=42)",0.8034066713981547
08-06-2023 19:22:21,1.0,"RandomForestClassifier(n_estimators=300, random_state=42)",0.801277501774308
08-06-2023 19:22:41,1.0,"RandomForestClassifier(max_depth=5, random_state=42)",0.7991483321504613
08-06-2023 19:23:06,1.0,"RandomForestClassifier(max_depth=5, n_estimators=200, random_state=42)",0.7998580553584103
08-06-2023 19:23:23,1.0,"RandomForestClassifier(max_depth=5, n_estimators=300, random_state=42)",0.7991483321504613
08-06-2023 19:23:41,1.0,LogisticRegression(),0.794180269694819
08-06-2023 19:23:41,1.0,DecisionTreeClassifier(random_state=42),0.7274662881476224
08-06-2023 19:33:58,1.0,RandomForestClassifier(random_state=42),0.794889992902768
08-06-2023 19:34:16,1.0,"RandomForestClassifier(n_estimators=200, random_state=42)",0.8034066713981547
08-06-2023 19:34:37,1.0,"RandomForestClassifier(n_estimators=300, random_state=42)",0.801277501774308
08-06-2023 19:34:57,1.0,"RandomForestClassifier(max_depth=5, random_state=42)",0.7991483321504613
08-06-2023 19:35:18,1.0,"RandomForestClassifier(max_depth=5, n_estimators=200, random_state=42)",0.7998580553584103
08-06-2023 19:35:39,1.0,"RandomForestClassifier(max_depth=5, n_estimators=300, random_state=42)",0.7991483321504613
08-06-2023 19:36:10,1.0,RandomForestClassifier(random_state=42),0.794889992902768
08-06-2023 19:36:28,1.0,"RandomForestClassifier(n_estimators=200, random_state=42)",0.8034066713981547
